,c
1255,62684
1256,45561
1257,11310
1258,67596
1259,120672
1260,22636
1261,1464
1262,115133
1263,14848
1264,49718
1265,62752
1266,61899
1267,27824
1268,123151
1269,64664
1270,88483
1271,119305
1272,109275
1273,73732
1274,2660
1275,115980
1276,89832
1277,48254
1278,16438
1279,80320
1280,90763
1281,96693
1282,107488
1283,104146
1284,75826
1285,22194
1286,96161
1287,122305
1288,29189
1289,107482
1290,34504
1291,96166
1292,110086
1293,40526
1294,2870
1295,10359
1296,56676
1297,16259
1298,19894
1299,7238
1300,107249
1301,89835
1302,124562
1303,21857
1304,29236
1305,96715
1306,43374
1307,71249
1308,103231
1309,84271
1310,93438
1311,24680
1312,122767
1313,2418
1314,5384
1315,54769
1316,66752
1317,70188
1318,53541
1319,8756
1320,47709
1321,114145
1322,71049
1323,31166
1324,22536
1325,50156
1326,112004
1327,75009
1328,38851
1329,95202
1330,55088
1331,89444
1332,49207
1333,11014
1334,63655
1335,31612
1336,93051
1337,101805
1338,98297
1339,521
1340,60342
1341,93049
1342,50981
1343,47454
1344,90176
1345,76837
1346,40873
1347,25091
1348,88806
1349,26652
1350,104374
1351,36812
1352,17119
1353,93148
1354,42456
1355,50256
1356,71814
1357,78526
1358,43267
1359,2503
1360,82454
1361,36354
1362,35326
1363,71476
1364,56745
1365,73545
1366,41270
1367,102698
1368,86869
1369,54179
1370,32482
1371,20532
1372,81710
1373,38693
1374,31537
1375,48283
1376,102617
1377,46133
1378,20936
1379,74353
1380,1757
1381,4708
1382,28760
1383,11473
1384,22258
1385,114821
1386,52458
1387,80270
1388,123596
1389,6043
1390,8708
1391,63067
1392,1893
1393,16177
1394,73990
1395,90084
1396,82453
1397,35188
1398,51955
1399,117356
1400,80303
1401,47189
1402,32984
1403,125279
1404,22338
1405,84139
1406,18120
1407,120886
1408,54711
1409,123355
1410,114318
1411,45603
1412,3971
1413,77697
1414,102059
1415,58211
1416,48940
1417,74741
1418,63842
1419,61278
1420,122187
1421,42644
1422,33279
1423,15001
1424,58184
1425,120838
1426,82663
1427,117918
1428,118562
1429,18276
1430,7305
1431,125015
1432,40730
1433,5428
1434,54499
1435,2426
1436,51078
1437,48002
1438,95721
1439,57933
1440,17918
1441,79073
1442,66010
1443,42891
1444,46183
1445,65734
1446,30294
1447,2242
1448,62680
1449,41969
1450,112879
1451,48298
1452,81365
1453,76963
1454,9294
1455,2849
1456,45559
1457,69833
1458,29358
1459,16036
1460,116578
1461,62644
1462,5476
1463,66168
1464,69931
1465,48358
1466,116575
1467,67384
1468,97468
1469,31116
1470,67605
1471,115730
1472,26514
1473,117062
1474,99018
1475,115758
1476,61438
1477,31351
1478,816
1479,32599
1480,772
1481,40948
1482,96383
1483,16898
1484,34581
1485,26778
1486,123936
1487,101880
1488,101754
1489,47417
1490,80474
1491,16335
1492,9281
1493,92518
1494,94499
1495,69525
1496,61745
1497,65940
1498,75128
1499,69451
1500,38422
1501,43800
1502,9620
1503,19266
1504,32128
1505,60870
1506,111198
1507,31672
1508,20057
1509,86470
1510,85279
1511,192
1512,14343
1513,89042
1514,11304
1515,56739
1516,28852
1517,102027
1518,91149
1519,68644
1520,126611
1521,11399
1522,13264
1523,11582
1524,52444
1525,89067
1526,43125
1527,9600
1528,35057
1529,116053
1530,32990
1531,22201
1532,28867
1533,43560
1534,93974
1535,118730
1536,66069
1537,91199
1538,46574
1539,44526
1540,75666
1541,18707
1542,3509
1543,87130
1544,91203
1545,55496
1546,120598
1547,105391
1548,51142
1549,13776
1550,4185
1551,118204
1552,78277
1553,22452
1554,47612
1555,549
1556,94625
1557,115790
1558,100332
1559,18494
1560,18291
1561,9613
1562,106309
1563,100129
1564,8318
1565,13636
1566,95969
1567,103116
1568,46193
1569,72251
1570,104925
1571,69077
1572,39715
1573,49046
1574,120805
1575,21078
1576,70457
1577,123965
1578,4816
1579,13220
1580,95109
1581,14222
1582,104435
1583,106387
1584,30225
1585,17875
1586,78265
1587,47852
1588,88834
1589,78141
1590,47537
1591,46759
1592,119923
1593,43360
1594,87736
1595,94242
1596,59541
1597,39452
1598,6945
1599,82814
1600,12826
1601,1723
1602,90332
1603,120128
1604,117094
1605,82694
1606,92698
1607,101016
1608,41891
1609,49734
1610,106566
1611,123995
1612,25725
1613,45773
1614,86403
1615,10565
1616,1170
1617,69784
1618,69060
1619,118353
1620,114130
1621,66506
1622,92952
1623,90777
1624,12238
1625,65556
1626,49607
1627,74188
1628,44517
1629,74810
1630,10316
1631,76477
1632,96981
1633,96300
1634,76640
1635,30336
1636,59368
1637,117686
1638,75360
1639,1734
1640,39888
1641,27199
1642,119065
1643,7136
1644,65658
1645,62425
1646,23226
1647,49068
1648,82810
1649,7317
1650,20745
1651,97036
1652,21507
1653,78015
1654,120603
1655,107552
1656,74957
1657,110318
1658,21593
1659,114119
1660,122312
1661,89628
1662,93725
1663,7048
1664,14465
1665,84724
1666,57026
1667,21643
1668,10870
1669,61870
1670,46948
1671,64812
1672,23174
1673,121478
1674,61856
1675,61305
1676,64042
1677,27429
1678,1042
1679,124643
1680,18461
1681,1767
1682,8381
1683,8802
1684,54289
1685,28034
1686,30562
1687,122273
1688,116338
1689,62971
1690,95857
1691,72153
1692,87646
1693,108920
1694,52300
1695,110753
1696,98353
1697,2314
1698,51304
1699,73271
1700,87464
1701,108606
1702,108616
1703,90358
1704,85590
1705,95934
1706,69358
1707,65735
1708,63764
1709,30289
1710,83757
1711,77744
1712,74011
1713,49253
1714,39323
1715,46243
1716,76551
1717,96641
1718,75813
1719,85498
1720,22800
1721,85836
1722,35703
1723,74008
1724,37138
1725,74608
1726,60077
