site,i
87-43820-12,1250
36-18486-12,1251
242-121343-12,1252
72-36459-12,1253
13-6683-12,1254
222-111433-12,1255
169-84928-12,1256
229-114866-12,1257
148-74072-12,1258
165-82532-12,1259
82-41264-12,1260
15-7936-12,1261
165-82800-12,1262
225-112617-12,1263
198-99173-12,1264
95-47905-12,1265
32-16072-12,1266
212-106231-12,1267
233-116714-12,1268
52-26220-12,1269
168-84324-12,1270
212-106362-12,1271
220-110071-12,1272
37-18657-12,1273
218-109355-12,1274
230-115077-12,1275
195-97868-12,1276
96-48058-12,1277
155-77704-12,1278
204-102419-12,1279
121-60973-12,1280
169-84500-12,1281
126-63201-12,1282
219-109894-12,1283
171-85624-12,1284
210-105193-12,1285
226-113159-12,1286
114-57188-12,1287
9-4559-12,1288
148-74439-12,1289
231-115607-12,1290
99-49814-12,1291
103-51778-12,1292
200-100272-12,1293
30-15306-12,1294
140-70221-12,1295
24-12260-12,1296
197-98787-12,1297
132-66145-12,1298
184-92198-12,1299
146-73031-12,1300
251-125892-12,1301
230-115195-12,1302
24-12027-12,1303
9-4725-12,1304
29-14504-12,1305
93-46936-12,1306
60-30465-12,1307
152-76323-12,1308
175-87739-12,1309
8-4454-12,1310
197-98834-12,1311
67-33859-12,1312
177-88911-12,1313
129-64775-12,1314
79-39661-12,1315
49-24522-12,1316
210-105024-12,1317
147-73588-12,1318
107-53778-12,1319
153-76565-12,1320
208-104200-12,1321
37-18742-12,1322
40-20471-12,1323
205-102900-12,1324
132-66124-12,1325
109-54686-12,1326
198-99249-12,1327
167-83851-12,1328
77-38626-12,1329
188-94273-12,1330
92-46263-12,1331
14-7008-12,1332
163-81884-12,1333
44-22094-12,1334
220-110323-12,1335
106-53177-12,1336
126-63127-12,1337
187-93755-12,1338
84-42008-12,1339
124-62103-12,1340
67-33868-12,1341
53-26633-12,1342
232-116309-12,1343
200-100176-12,1344
188-94158-12,1345
194-97494-12,1346
1-511-12,1347
241-120886-12,1348
235-117962-12,1349
84-42266-12,1350
13-6570-12,1351
193-96772-12,1352
241-120677-12,1353
166-83101-12,1354
140-70035-12,1355
56-28459-12,1356
159-79501-12,1357
232-116395-12,1358
108-54362-12,1359
212-106431-12,1360
118-59111-12,1361
151-75745-12,1362
247-123957-12,1363
190-95233-12,1364
120-60049-12,1365
196-98321-12,1366
202-101384-12,1367
151-75839-12,1368
131-65889-12,1369
41-20558-12,1370
226-113061-12,1371
90-45347-12,1372
24-12324-12,1373
185-92568-12,1374
118-59206-12,1375
209-104990-12,1376
84-42435-12,1377
103-51773-12,1378
134-67057-12,1379
246-123016-12,1380
150-75062-12,1381
221-110695-12,1382
211-105628-12,1383
131-65753-12,1384
175-87887-12,1385
188-94182-12,1386
226-113353-12,1387
43-21666-12,1388
227-113710-12,1389
77-38543-12,1390
224-112426-12,1391
19-9864-12,1392
244-122287-12,1393
25-12952-12,1394
51-25630-12,1395
29-14758-12,1396
202-101080-12,1397
159-79916-12,1398
228-114387-12,1399
15-7974-12,1400
50-25018-12,1401
73-36863-12,1402
105-52714-12,1403
215-107560-12,1404
4-2396-12,1405
128-64283-12,1406
79-39950-12,1407
216-108471-12,1408
34-17113-12,1409
200-100195-12,1410
95-47843-12,1411
8-4123-12,1412
2-1388-12,1413
116-58328-12,1414
69-34752-12,1415
48-24472-12,1416
207-103862-12,1417
1-780-12,1418
96-48469-12,1419
148-74333-12,1420
233-116700-12,1421
194-97346-12,1422
19-9527-12,1423
131-65625-12,1424
85-42595-12,1425
3-1973-12,1426
36-18124-12,1427
123-61902-12,1428
44-22044-12,1429
59-29901-12,1430
65-32500-12,1431
26-13356-12,1432
1-608-12,1433
1-597-12,1434
214-107193-12,1435
28-14073-12,1436
163-81877-12,1437
176-88381-12,1438
205-102706-12,1439
199-99542-12,1440
246-123437-12,1441
49-24888-12,1442
242-121130-12,1443
246-123249-12,1444
102-51495-12,1445
195-97546-12,1446
146-73492-12,1447
203-101993-12,1448
56-28060-12,1449
209-104719-12,1450
13-6728-12,1451
14-7199-12,1452
